GeneInfo
NTRK2
USP16
PPM1G
UBE2D3
DHDDS
RAC1
EED
SSB
GGA3
PPP2R2A
LOC424965
GTF2IRD1
FUNDC2
YARS
RABL5
SEC23B
ARPC1A
CDKN1B
EML1
PPIG
RABGEF1
DNAJB14
MARK3
SIK2
RPL8
TNIK
HYOU1
PPIH
CHD3
FBXW7
SOX4
MYO5A
KIAA1429
DCLK1
AUH
OCIAD1
HNRNPAB
PIM3
ARC
SERTAD4
ZNF362
BTF3L4
PSMD12
LDHA
CGNL1
WBP2
PSMD2
BAZ2B
TRIAP1
APOA1BP
VGLL4
RNF214
KCNJ4
FAM43A
ATP8A1
UBTD1
YWHAH
WDR37
DNAJB9
NKRF
PRRG3
ACOT7
LOC772206
TET2
SLC30A1
CKB
CDK2AP1
MAPRE1
RYBP
RTCD1
ARL5B
USP39
C6ORF125
HNRNPH3
CNN3
N6AMT2
EXT2
GBAS
GRIA1
FGD3
HEBP2
NCBP2
TPM2
M6PR
PAM
ARPC2
SGSM2
LUC7L2
AGFG1
PIGT
SLC9A7
LOC421400
C20ORF24
ACVR1B
PLXNA4-2
SORBS1
C6ORF129
CRTC1
TLN2
FRAT1
SCG2
MKKS
MCM3AP
TPM1
KIF20A
CTTNBP2NL
ELF1
LOC421379
ZFR
RTN4RL1
ARGLU1
PIK3IP1
MED13L
TANC2
NUS1
TRIOBP
HNRNPA0
FHL2
CPEB3
RIMS1
METAP2
UBR2
PRKAR2A
SCN3B
PTPRR
G3BP2
RAP1B
TARS
NELL2
KCNAB2
BTBD1
C14ORF102
DBC1
CD164
ACTB
MAP3K7
TAC1
PPP2R5C
EIF3I
MTNR1A
MEX3B
CCT2
PPCS
LRRC8B
A2BP1
PTPRJ
CALM2
ZDHHC13
HECA
FOXP2
CSNK1G2
KCTD1
SHISA5
NCKIPSD
FOSL2
NETO1
HOMER1
HMGN3
NOL6
SNPH
RUNX1T1
BEND5
ACTR3
EIF3E
SLC25A20
PPAPR3
TIMM9
TERF2
FMN2
SRP54
ACTC1
UBXN4
BRUNOL6
ZNF462
MAPK10
FBXL3
DMXL2
SETD6
SHC3
PSMF1
ITFG2
UBE2E2
UNC80
ABCC5
NUP155
TAX1BP1
VCL
HSP90AA1
CDK11A
ADPRHL2
BRD8
C14ORF169
GPR146
SYNE1
MRAS
